dil,url_stranky,nazev_videa,youtube_id,youtube_url
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-7/,"Geometrie pro 3. ročník, strana 7, cvičení 2",cySW96Cqh28,https://www.youtube.com/watch?v=cySW96Cqh28
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-8/,"Geometrie pro 3. ročník, strana 8, úvod",slQli1l8Jxg,https://www.youtube.com/watch?v=slQli1l8Jxg
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-8/,"Geometrie pro 3. ročník, strana 8, cvičení 1",Jdp86TledBA,https://www.youtube.com/watch?v=Jdp86TledBA
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-8/,"Geometrie pro 3. ročník, strana 8, cvičení 2",3UyYfFRO8PQ,https://www.youtube.com/watch?v=3UyYfFRO8PQ
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-9/,"Geometrie pro 3. ročník, strana 9, úvod",d2E5ELg9xsQ,https://www.youtube.com/watch?v=d2E5ELg9xsQ
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-9/,"Geometrie pro 3. ročník, strana 9, cvičení 1",QDscA-ctG70,https://www.youtube.com/watch?v=QDscA-ctG70
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-9/,"Geometrie pro 3. ročník, strana 9, cvičení 2",EAY-PniLU0U,https://www.youtube.com/watch?v=EAY-PniLU0U
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-9/,"Geometrie pro 3. ročník, strana 9, cvičení 3",qM0hSm9752s,https://www.youtube.com/watch?v=qM0hSm9752s
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-10/,"Geometrie pro 3. ročník, strana 10, úvod",XaLGndDRMjo,https://www.youtube.com/watch?v=XaLGndDRMjo
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-10/,"Geometrie pro 3. ročník, strana 10, cvičení 1",z_hZad3KEMs,https://www.youtube.com/watch?v=z_hZad3KEMs
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-10/,"Geometrie pro 3. ročník, strana 10, cvičení 2",Va9rcTXzYXk,https://www.youtube.com/watch?v=Va9rcTXzYXk
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-10/,"Geometrie pro 3. ročník, strana 10, cvičení 3A",tyFpJXcR0HA,https://www.youtube.com/watch?v=tyFpJXcR0HA
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-10/,"Geometrie pro 3. ročník, strana 10, cvičení 3B",tUPB39QpFWI,https://www.youtube.com/watch?v=tUPB39QpFWI
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-10/,"Geometrie pro 3. ročník, strana 10, cvičení 3C",9a6lNbZeF6Y,https://www.youtube.com/watch?v=9a6lNbZeF6Y
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-11/,"Geometrie pro 3. ročník, strana 11, úvod",OxaiS2RAvRo,https://www.youtube.com/watch?v=OxaiS2RAvRo
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-11/,"Geometrie pro 3. ročník, strana 11, cvičení 1",NurgNnpD77w,https://www.youtube.com/watch?v=NurgNnpD77w
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-11/,"Geometrie pro 3. ročník, strana 11, cvičení 2",WtLBPMnEAVc,https://www.youtube.com/watch?v=WtLBPMnEAVc
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-12/,"Geometrie pro 3. ročník, strana 12, úvod",AO1ATUqNofQ,https://www.youtube.com/watch?v=AO1ATUqNofQ
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-12/,"Geometrie pro 3. ročník, strana 12, cvičení 1",_JMtI8oGTTc,https://www.youtube.com/watch?v=_JMtI8oGTTc
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-12/,"Geometrie pro 3. ročník, strana 12, cvičení 2",IcC9XI1GLiw,https://www.youtube.com/watch?v=IcC9XI1GLiw
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-12/,"Geometrie pro 3. ročník, strana 12, cvičení 3",Ggqc8sUf7bY,https://www.youtube.com/watch?v=Ggqc8sUf7bY
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-12/,"Geometrie pro 3. ročník, strana 26, úvod 2",XV9RtJNvuuI,https://www.youtube.com/watch?v=XV9RtJNvuuI
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-13/,"Geometrie pro 3. ročník, strana 13, úvod",XL3zsdYhEMI,https://www.youtube.com/watch?v=XL3zsdYhEMI
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-13/,"Geometrie pro 3. ročník, strana 13, cvičení 1",23PKfve7bl4,https://www.youtube.com/watch?v=23PKfve7bl4
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-13/,"Geometrie pro 3. ročník, strana 13, cvičení 2",1mbFelkNt78,https://www.youtube.com/watch?v=1mbFelkNt78
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-13/,"Geometrie pro 3. ročník, strana 13, cvičení 3",R-H5sN2-ASA,https://www.youtube.com/watch?v=R-H5sN2-ASA
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-13/,"Geometrie pro 3. ročník, strana 26, úvod 2",XV9RtJNvuuI,https://www.youtube.com/watch?v=XV9RtJNvuuI
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-14/,"Geometrie pro 3. ročník, strana 14, úvod",iDPdboeY0tM,https://www.youtube.com/watch?v=iDPdboeY0tM
